Rank,Country,Population,GDP_Rank,GDP_USD_millions,GDP_USD_billions,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,GDP_per_Capita,Log_Population,Log_GDP,Log_GDP_per_Capita,Population_Category,GDP_Category,Development_Level,Life_Expectancy_Gender_Gap,Wealth_Score
104,Laos,7647000.0,142.0,16934.0,16.934,68.1,66.5,69.8,2214.4631881783707,15.84982410279659,9.737137765251871,7.703216774919635,Large,Medium,Developing,3.299999999999997,2.6959681089240854e-05
105,Hong Kong,7527500.0,39.0,428233.0,428.233,85.5,82.9,88.2,56889.13982065759,15.834073672184248,12.967425054134065,10.948877315478667,Large,Very High,Developed,5.299999999999997,0.0007654611482297231
106,Libya,7459000.0,99.0,47941.0,47.941,72.9,70.4,75.5,6427.269070921035,15.82493204900352,10.777747225933355,8.768460585178754,Large,Medium,Emerging,5.099999999999994,8.351703244980358e-05
107,Kyrgyzstan,7281800.0,133.0,20160.0,20.16,71.8,67.9,75.8,2768.5462385673873,15.800888779686872,9.911505324129712,7.926438772971046,Large,Medium,Developing,7.8999999999999915,3.396776855857228e-05
108,Turkmenistan,7057841.0,89.0,72119.0,72.119,68.2,64.9,71.6,10218.280632845086,15.769649897021756,11.186086677317254,9.232031473104703,Large,High,Emerging,6.699999999999989,0.00013253000110631557
109,Nicaragua,6874748.0,132.0,20689.0,20.689,74.5,71.8,77.4,3009.419399809273,15.743365691759527,9.93740577073959,8.009834683521442,Large,Medium,Developing,5.6000000000000085,3.657307138783222e-05
110,Serbia,6567783.0,77.0,100048.0,100.048,76.0,73.5,78.6,15233.146405720165,15.697687042850113,11.51341534495943,9.63129466134475,Large,High,Emerging,5.099999999999994,0.0001953174359826567
111,Central African Republic,6470307.0,184.0,3300.0,3.3,53.9,52.3,55.6,510.02216741802204,15.6827342696717,8.101980731853192,6.236412969728596,Large,Low,Developing,3.3000000000000043,3.527180824306036e-06
112,Bulgaria,6437360.0,67.0,127924.0,127.924,75.1,71.7,78.6,19872.121490797468,15.677629231488003,11.759199433673292,9.897123418869306,Large,High,Emerging,6.8999999999999915,0.0002544295119185357
113,Republic of the Congo,6142180.0,145.0,15695.0,15.695,64.7,63.2,66.3,2555.2816752358285,15.63069044877696,9.661161181805145,7.8463090110046405,Large,Medium,Developing,3.0999999999999943,2.9641850518125454e-05
114,Singapore,6110200.0,28.0,574185.0,574.185,83.8,81.5,86.1,93971.55575922229,15.625470227497031,13.26070866462334,11.450758058615246,Large,Very High,Developed,4.599999999999994,0.0011991412816021656
115,Paraguay,6109644.0,101.0,47398.0,47.398,74.3,72.0,76.7,7757.898823564843,15.625379227986826,10.76635641041421,8.956595698928126,Large,Medium,Emerging,4.700000000000003,9.615844361352005e-05
116,El Salvador,6029976.0,110.0,36587.0,36.587,73.3,69.4,77.4,6067.520003396365,15.61225375443407,10.507475596776255,8.710870032807996,Large,Medium,Emerging,8.0,7.428871143519806e-05
117,Denmark,6027601.0,37.0,459612.0,459.612,81.4,79.5,83.3,76251.23162598188,15.611859811333103,13.038140110022333,11.241801961267374,Large,Very High,Developed,3.799999999999997,0.0009692529344805989
118,Finland,5656900.0,49.0,314724.0,314.724,81.9,79.2,84.5,55635.41869221658,15.548386773730227,12.65945452063446,10.926593278261587,Large,High,Developed,5.299999999999997,0.0006959433908059044
119,Norway,5618354.0,32.0,517102.0,517.102,83.2,81.3,85.0,92037.98835032467,15.54154947439718,13.15599735995325,11.429967552675649,Large,Very High,Developed,3.700000000000003,0.0011515328885910398
120,Lebanon,5490000.0,117.0,282802024.0,282802.024,78.9,76.8,81.1,51512208.37887067,15.518438995635059,19.460257652498537,17.75732941285393,Large,Very High,Developed,4.299999999999997,0.6428809487248441
121,Palestine,5483450.0,150.0,137112024.0,137112.024,74.1,72.5,75.8,25004700.32552499,15.51724520524387,18.73630885038722,17.034574418173722,Medium,Very High,Developed,3.299999999999997,0.3119784909801354
122,Ireland,5458600.0,24.0,708771.0,708.771,82.6,80.7,84.5,129844.83200820723,15.512703087783088,13.471289174106724,11.774103118063653,Medium,Very High,Developed,3.799999999999997,0.0016153424242100016
123,Slovakia,5413191.0,62.0,154587.0,154.587,77.5,74.3,80.7,28557.462686980747,15.504349495314482,11.948518792459248,10.259708587518102,Medium,High,Developed,6.400000000000006,0.00035220477774141815
124,Oman,5357728.0,73.0,105190.0,105.19,77.9,76.5,79.8,19633.32218432888,15.494050749233457,11.563533024295225,9.885034445628317,Medium,High,Emerging,3.299999999999997,0.00024062563523850018
125,New Zealand,5334200.0,55.0,262909.0,262.909,82.4,80.6,84.2,49287.428292902405,15.48964966580377,12.479567047271106,10.805444612254576,Medium,High,Developed,3.6000000000000085,0.0006081479858802799
126,Liberia,5248621.0,173.0,5182.0,5.182,64.1,62.7,65.6,987.3069516735919,15.473476123924426,8.553139318189707,6.895993329328453,Medium,Low,Developing,2.8999999999999915,9.110792754080974e-06
127,Costa Rica,5191824.0,75.0,102637.0,102.637,80.3,77.9,82.8,19768.96751507755,15.462595831096934,11.538963513519,9.891919273021054,Medium,High,Emerging,4.8999999999999915,0.00024065241572482747
128,Mauritania,4927532.0,157.0,11953.0,11.953,64.9,63.2,66.7,2425.757965650959,15.410349015094654,9.388821229384199,7.7943114750227,Medium,Low,Developing,3.5,2.6494046386966528e-05
129,Kuwait,4881254.0,61.0,157469.0,157.469,75.5,74.3,77.1,32259.947955996555,15.400912916897394,11.966990242914456,10.381612736120275,Medium,High,Developed,2.799999999999997,0.00038959901954627104
130,Panama,4064780.0,81.0,90408.0,90.408,78.5,75.8,81.3,22241.794143840503,15.217870424974018,11.41209909894687,10.009773376437034,Medium,High,Developed,5.5,0.00025847640122601297
131,Croatia,3866233.0,74.0,103901.0,103.901,78.5,75.4,81.6,26873.962329740603,15.167791464595872,11.551203426180205,10.198950363744911,Medium,High,Developed,6.199999999999989,0.0003102556365750636
132,Georgia,3704500.0,108.0,37403.0,37.403,73.8,69.5,78.2,10096.639222567148,15.125059124780774,10.529532929555337,9.220056935167934,Medium,Medium,Emerging,8.700000000000003,0.00011380961263828325
133,Eritrea,3607000.0,,,,66.5,64.2,68.9,,15.09838723712434,,,Medium,,,4.700000000000003,
134,Mongolia,3544835.0,124.0,25105.0,25.105,69.9,66.0,74.0,7082.134993589264,15.081002454536904,10.130862140378154,8.865471884387375,Medium,Medium,Emerging,8.0,7.833598024328041e-05
135,Uruguay,3485931.0,84.0,84986.0,84.986,77.9,74.5,81.4,24379.713769434908,15.064245998274027,11.350253582599288,10.10154767944981,Medium,High,Developed,6.900000000000006,0.0002764887356800672
136,Bosnia and Herzegovina,3412000.0,112.0,33237.0,33.237,77.5,75.0,80.0,9741.207502930833,15.0428094806769,10.411449078687468,9.184223013968312,Medium,Medium,Emerging,5.0,0.00010825481435129955
137,Qatar,3214609.0,58.0,222119.0,222.119,80.2,79.5,81.5,69096.73929239917,14.983216601919283,12.310973055355543,11.143277292757457,Medium,High,Developed,2.0,0.0007798185271322628
138,Puerto Rico,3203295.0,68.0,126546.0,126.546,80.0,76.7,83.5,39504.947249628894,14.979690837683917,11.748369059647237,10.584206502837445,Medium,High,Developed,6.799999999999997,0.00044429925161157695
139,Armenia,3076200.0,118.0,27859.0,27.859,75.1,71.6,78.7,9056.303231259346,14.939205952076186,10.234947247333796,9.111326698134617,Medium,Medium,Emerging,7.1000000000000085,9.88896492826972e-05
140,Namibia,3022401.0,149.0,14686.0,14.686,63.7,61.2,66.3,4859.0508010022495,14.921562437454945,9.594718027753862,8.48880416972103,Medium,Low,Emerging,5.099999999999994,5.149359674873581e-05
141,Lithuania,2897009.0,80.0,95274.0,95.274,75.9,70.9,80.9,32887.02244280221,14.879189728592268,11.46452272574206,10.400863810978425,Medium,High,Developed,10.0,0.00036426273544953587
142,Jamaica,2774538.0,128.0,23137.0,23.137,74.5,72.8,76.3,8339.045996126202,14.835995165236072,10.049231566588833,9.02882401046063,Medium,Medium,Emerging,3.5,8.954188328737964e-05
143,Gabon,2469296.0,131.0,21455.0,21.455,66.5,64.8,68.3,8688.711276412387,14.7194440527089,9.97375960552146,9.06989499289878,Medium,Medium,Emerging,3.5,9.208610576448041e-05
144,Gambia,2422712.0,189.0,2497.0,2.497,62.1,60.5,63.8,1030.6631576514253,14.700398544578416,7.823245690685523,6.938927495137622,Medium,Low,Developing,3.299999999999997,8.175078404575074e-06
145,Moldova,2381300.0,134.0,19620.0,19.62,71.9,68.0,75.9,8239.197077226725,14.683157534950634,9.884355700220102,9.016779539756673,Medium,Medium,Emerging,7.900000000000006,8.679579487810135e-05
146,Albania,2363314.0,115.0,29939.0,29.939,78.6,76.8,80.5,12668.227751369475,14.675575852405316,10.30695065797362,9.446931320500179,Medium,Medium,Emerging,3.700000000000003,0.00013499966646635656
147,Botswana,2359609.0,136.0,19186.0,19.186,69.6,66.8,72.5,8131.008145841111,14.674006909108519,9.861988245358098,9.003563176449791,Medium,Medium,Emerging,5.700000000000003,8.552638819448028e-05
148,Slovenia,2130986.0,87.0,79221.0,79.221,81.3,78.5,84.1,37175.74869098155,14.57209581063981,11.280009317007192,10.523438809656644,Medium,High,Developed,5.599999999999994,0.0003977807320884811
149,Lesotho,2116427.0,191.0,2390.0,2.39,55.0,53.1,57.0,1129.2617227052954,14.565240319937828,7.779466967458324,7.030204497901769,Medium,Low,Developing,3.8999999999999986,9.078065059053964e-06
150,Guinea-Bissau,1852784.0,190.0,2474.0,2.474,58.9,57.2,60.7,1335.2878694980095,14.43220047047312,7.813995675002791,7.197650802067155,Medium,Low,Developing,3.5,1.1120296686440764e-05
151,Latvia,1824800.0,100.0,47880.0,47.88,75.3,70.6,79.9,26238.491889522138,14.416981497957426,10.776474045001011,10.17502087890416,Medium,Medium,Developed,9.300000000000011,0.0002757837747024206
152,North Macedonia,1822612.0,137.0,18783.0,18.783,76.0,73.9,78.2,10305.53952239972,14.415781743686344,9.840760722627824,9.240533877838114,Medium,Medium,Emerging,4.299999999999997,0.00010642986002045308
153,Equatorial Guinea,1668768.0,152.0,13467.0,13.467,58.7,57.2,60.3,8070.025312086521,14.32759678683367,9.508071780280964,8.996035805496696,Medium,Low,Emerging,3.0999999999999943,8.204502974099411e-05
154,Bahrain,1594654.0,102.0,47391.0,47.391,77.7,76.4,79.5,29718.672514539205,14.28216796986422,10.766208717067526,10.299564479744713,Medium,Medium,Developed,3.0999999999999943,0.00030931707610290786
155,Kosovo,1585566.0,155.0,12672.0,12.672,,,,7992.09872058306,14.276452630030484,9.447229025082065,8.98633378842965,Medium,Low,Emerging,,8.088697515475287e-05
156,East Timor,1391221.0,196.0,2125.0,2.125,69.5,67.9,71.2,1527.43525291812,14.145693055583202,7.661997558901893,7.331999780550217,Medium,Low,Developing,3.299999999999997,1.280904816264213e-05
157,Trinidad and Tobago,1367764.0,122.0,26002.0,26.002,73.9,71.2,76.7,19010.589546149775,14.128688578782405,10.165967194962711,9.85280404830191,Medium,Medium,Emerging,5.5,0.00019457267471959723
158,Estonia,1362954.0,103.0,46763.0,46.763,78.8,74.4,83.1,34310.035408385025,14.125165694726459,10.75286895512671,10.443222313432269,Medium,Medium,Developed,8.699999999999989,0.00035356583669401867
159,Mauritius,1243741.0,144.0,15730.0,15.73,74.9,71.6,78.4,12647.327699255713,14.03363513527345,9.663388566822505,9.445280287729487,Medium,Medium,Emerging,6.800000000000011,0.00012761794132312894
160,Eswatini,1235549.0,172.0,5201.0,5.201,57.1,54.7,59.6,4209.464780433637,14.027026773037505,8.556798446008598,8.345328319735772,Medium,Low,Developing,4.899999999999999,4.0396255308209724e-05
